Brand Name,Price,Rating,Rating Count,Review Count,Ranking,URL
Keyless-Entry,68,4.3,7978,7978,13,https://www.amazon.com/Sifely-Lock-Fingerprint-Biometric-Smart/dp/B07Y5V15SY/ref=sr_1_6?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-6
Schlage,229,4.4,14424,14424,14,https://www.amazon.com/Schlage-Deadbolt-BE489WB-CEN-622/dp/B07HXMLCBT/ref=sr_1_7?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-7
Veise,70,4.4,3218,3218,15,https://www.amazon.com/Veise-Fingerprint-Electronic-Biometric-Installation/dp/B0BMQ3B3SC/ref=sr_1_8?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-8
Kwikset,177,4.0,6493,6493,16,https://www.amazon.com/Kwikset-99390-001-Electronic-Touchscreen-Featuring/dp/B081FYNZ7B/ref=sr_1_9?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-9
Google,239,4.3,3723,3723,17,https://www.amazon.com/Nest-Yale-Satin-Nickel-Connect/dp/B07BH6K3NT/ref=sr_1_10?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-10
TMEZON,60,4.2,121,121,18,https://www.amazon.com/TMEZON-Fingerprint-Fingerprints-Biometric-Electronic/dp/B0CT2CCD61/ref=sr_1_11?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-11
Veise,140,4.3,1375,1375,19,https://www.amazon.com/Veise-Fingerprint-Electronic-Touchscreen-Biometric/dp/B0BL7C7KQH/ref=sr_1_12?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-12
Philips,180,4.5,111,111,20,https://www.amazon.com/Philips-Keyless-Fingerprint-Deadbolt-Door-Matte/dp/B0D3TDWLRM/ref=sr_1_13?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-13
Schlage,247,4.4,998,998,21,https://www.amazon.com/Schlage-BE499WB-CEN-622-Deadbolt/dp/B09RS6C1SJ/ref=sr_1_14?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-14
Aqara,190,4.2,1396,1396,22,https://www.amazon.com/Aqara-Fingerprint-Touchscreen-Electronic-Weatherproof/dp/B0BZSD2L1W/ref=sr_1_15?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-15
Aqara,150,4.2,121,121,23,https://www.amazon.com/Aqara-Keyless-Bluetooth-Deadbolt-Supports/dp/B0CZNZGGS7/ref=sr_1_16?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-16
Not Available,349,4.4,67,67,25,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/JMJdu4vIdXxlC9PWXCCCEZoAAAGRvDQRzgEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICBxdrdX/https://www.amazon.com/Level-Connect-Wi-Fi-Smart-Apple/dp/B0D2PNT3RN/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.2f0a8989-0b67-47e7-b61e-9e3ef9908602%3Aamzn1.sym.2f0a8989-0b67-47e7-b61e-9e3ef9908602&crid=2A0VLCNI653XM&cv_ct_cx=smart+lock&dib=eyJ2IjoiMSJ9.Eqz3VXF17r7nPZkUSeM-5Q.2RuZ7v6MWcB0rXq2j88fNu-lbyP_wdUB0n4XQrGL2Tc&dib_tag=se&keywords=smart+lock&pd_rd_i=B0D2PNT3RN&pd_rd_r=5db1eb7d-d668-4bf7-966c-ea57dbd7161e&pd_rd_w=VTBpu&pd_rd_wg=niO6i&pf_rd_p=2f0a8989-0b67-47e7-b61e-9e3ef9908602&pf_rd_r=PJSRHJWJZ4ZR0BFMJ700&qid=1725439414&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=smart+lock%2Caps%2C2815&sr=1-1-a61ee601-6e56-4862-a8a2-1d3da5a5406f
Not Available,0,0.0,0,0,26,Not Available
Not Available,0,0.0,0,0,27,Not Available
Not Available,0,0.0,0,0,28,Not Available
Not Available,0,0.0,0,0,29,Not Available
Kwikset,107,4.4,716,716,3,https://www.amazon.com/Kwikset-SmartCode-Electronic-Contemporary-Touchpad/dp/B0CC6JFS4C/ref=sr_1_49?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.1cS6p9lRNT6emmJLf_qKZyJnXRjlnTKRKA28eL7wqI6vpND1bcbQbYS2BZLAgwaLrQq7ylOBpsvXyXocU7voG-mk0tMLpnIbVZ9KRMicEnJwtvB8rh7YbE5MMv7jPjwQi-8UmN_-QxNJARAJ3-HYDhPm9012qGtZak7Wx9DeLbYlHqV4esW4CVkSZScPc0mw8pgHtOvxlYQyqLR8ZA1NdLr1HNhoAiOknAa_dofr4uugwJ_xboPatWlGmok4hC4CqPu9aTFNSmmmKiBTwFqejmKarbp2vwmzysqrW6Q8UuE.QIoV7KNfM1M9bLDCRoCtkNzK4etNJlIyqk-sA9VuOjg&dib_tag=se&keywords=smart+lock&qid=1725439417&sprefix=smart+lock%2Caps%2C2815&sr=8-49
Smart,70,4.4,512,512,4,https://www.amazon.com/Smart-Door-Lock-Deadbolt-Keypad/dp/B0CGRRHXT6/ref=sr_1_50?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.1cS6p9lRNT6emmJLf_qKZyJnXRjlnTKRKA28eL7wqI6vpND1bcbQbYS2BZLAgwaLrQq7ylOBpsvXyXocU7voG-mk0tMLpnIbVZ9KRMicEnJwtvB8rh7YbE5MMv7jPjwQi-8UmN_-QxNJARAJ3-HYDhPm9012qGtZak7Wx9DeLbYlHqV4esW4CVkSZScPc0mw8pgHtOvxlYQyqLR8ZA1NdLr1HNhoAiOknAa_dofr4uugwJ_xboPatWlGmok4hC4CqPu9aTFNSmmmKiBTwFqejmKarbp2vwmzysqrW6Q8UuE.QIoV7KNfM1M9bLDCRoCtkNzK4etNJlIyqk-sA9VuOjg&dib_tag=se&keywords=smart+lock&qid=1725439417&sprefix=smart+lock%2Caps%2C2815&sr=8-50
Keyless,90,5.0,100,100,5,https://www.amazon.com/VCHOO-Keyless-Entry-Door-Lock/dp/B0D6B66NJC/ref=sr_1_51?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.1cS6p9lRNT6emmJLf_qKZyJnXRjlnTKRKA28eL7wqI6vpND1bcbQbYS2BZLAgwaLrQq7ylOBpsvXyXocU7voG-mk0tMLpnIbVZ9KRMicEnJwtvB8rh7YbE5MMv7jPjwQi-8UmN_-QxNJARAJ3-HYDhPm9012qGtZak7Wx9DeLbYlHqV4esW4CVkSZScPc0mw8pgHtOvxlYQyqLR8ZA1NdLr1HNhoAiOknAa_dofr4uugwJ_xboPatWlGmok4hC4CqPu9aTFNSmmmKiBTwFqejmKarbp2vwmzysqrW6Q8UuE.QIoV7KNfM1M9bLDCRoCtkNzK4etNJlIyqk-sA9VuOjg&dib_tag=se&keywords=smart+lock&qid=1725439417&sprefix=smart+lock%2Caps%2C2815&sr=8-51
Not Available,0,0.0,0,0,6,Not Available
Not Available,0,0.0,0,0,7,Not Available
Smart,170,4.2,390,390,8,https://www.amazon.com/Zowill-Fingerprint-Deadbolt-Biometric-Touchscreen/dp/B0BZXZ6QMJ/ref=sr_1_52?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.1cS6p9lRNT6emmJLf_qKZyJnXRjlnTKRKA28eL7wqI6vpND1bcbQbYS2BZLAgwaLrQq7ylOBpsvXyXocU7voG-mk0tMLpnIbVZ9KRMicEnJwtvB8rh7YbE5MMv7jPjwQi-8UmN_-QxNJARAJ3-HYDhPm9012qGtZak7Wx9DeLbYlHqV4esW4CVkSZScPc0mw8pgHtOvxlYQyqLR8ZA1NdLr1HNhoAiOknAa_dofr4uugwJ_xboPatWlGmok4hC4CqPu9aTFNSmmmKiBTwFqejmKarbp2vwmzysqrW6Q8UuE.QIoV7KNfM1M9bLDCRoCtkNzK4etNJlIyqk-sA9VuOjg&dib_tag=se&keywords=smart+lock&qid=1725439417&sprefix=smart+lock%2Caps%2C2815&sr=8-52
Harfo,130,4.3,1655,1655,9,https://www.amazon.com/Keyless-Fingerprint-Keypads-Electronic-Biometric/dp/B0B9BVZSV1/ref=sr_1_53?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.1cS6p9lRNT6emmJLf_qKZyJnXRjlnTKRKA28eL7wqI6vpND1bcbQbYS2BZLAgwaLrQq7ylOBpsvXyXocU7voG-mk0tMLpnIbVZ9KRMicEnJwtvB8rh7YbE5MMv7jPjwQi-8UmN_-QxNJARAJ3-HYDhPm9012qGtZak7Wx9DeLbYlHqV4esW4CVkSZScPc0mw8pgHtOvxlYQyqLR8ZA1NdLr1HNhoAiOknAa_dofr4uugwJ_xboPatWlGmok4hC4CqPu9aTFNSmmmKiBTwFqejmKarbp2vwmzysqrW6Q8UuE.QIoV7KNfM1M9bLDCRoCtkNzK4etNJlIyqk-sA9VuOjg&dib_tag=se&keywords=smart+lock&qid=1725439417&sprefix=smart+lock%2Caps%2C2815&sr=8-53
Kwikset,138,4.4,971,971,10,https://www.amazon.com/Connected-Technology-Featuring-SmartKey-Security/dp/B09HR7397D/ref=sr_1_54?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.1cS6p9lRNT6emmJLf_qKZyJnXRjlnTKRKA28eL7wqI6vpND1bcbQbYS2BZLAgwaLrQq7ylOBpsvXyXocU7voG-mk0tMLpnIbVZ9KRMicEnJwtvB8rh7YbE5MMv7jPjwQi-8UmN_-QxNJARAJ3-HYDhPm9012qGtZak7Wx9DeLbYlHqV4esW4CVkSZScPc0mw8pgHtOvxlYQyqLR8ZA1NdLr1HNhoAiOknAa_dofr4uugwJ_xboPatWlGmok4hC4CqPu9aTFNSmmmKiBTwFqejmKarbp2vwmzysqrW6Q8UuE.QIoV7KNfM1M9bLDCRoCtkNzK4etNJlIyqk-sA9VuOjg&dib_tag=se&keywords=smart+lock&qid=1725439417&sprefix=smart+lock%2Caps%2C2815&sr=8-54
Kwikset,58,4.5,16077,16077,11,https://www.amazon.com/Kwikset-92640-001-Contemporary-Electronic-Motorized/dp/B00R7JVFCE/ref=sr_1_55?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.1cS6p9lRNT6emmJLf_qKZyJnXRjlnTKRKA28eL7wqI6vpND1bcbQbYS2BZLAgwaLrQq7ylOBpsvXyXocU7voG-mk0tMLpnIbVZ9KRMicEnJwtvB8rh7YbE5MMv7jPjwQi-8UmN_-QxNJARAJ3-HYDhPm9012qGtZak7Wx9DeLbYlHqV4esW4CVkSZScPc0mw8pgHtOvxlYQyqLR8ZA1NdLr1HNhoAiOknAa_dofr4uugwJ_xboPatWlGmok4hC4CqPu9aTFNSmmmKiBTwFqejmKarbp2vwmzysqrW6Q8UuE.QIoV7KNfM1M9bLDCRoCtkNzK4etNJlIyqk-sA9VuOjg&dib_tag=se&keywords=smart+lock&qid=1725439417&sprefix=smart+lock%2Caps%2C2815&sr=8-55
ULTRALOQ,149,4.3,12401,12401,12,https://www.amazon.com/ULTRALOQ-Smart-Lock-U-Bolt-Pro/dp/B07WCW8M72/ref=sr_1_56?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.1cS6p9lRNT6emmJLf_qKZyJnXRjlnTKRKA28eL7wqI6vpND1bcbQbYS2BZLAgwaLrQq7ylOBpsvXyXocU7voG-mk0tMLpnIbVZ9KRMicEnJwtvB8rh7YbE5MMv7jPjwQi-8UmN_-QxNJARAJ3-HYDhPm9012qGtZak7Wx9DeLbYlHqV4esW4CVkSZScPc0mw8pgHtOvxlYQyqLR8ZA1NdLr1HNhoAiOknAa_dofr4uugwJ_xboPatWlGmok4hC4CqPu9aTFNSmmmKiBTwFqejmKarbp2vwmzysqrW6Q8UuE.QIoV7KNfM1M9bLDCRoCtkNzK4etNJlIyqk-sA9VuOjg&dib_tag=se&keywords=smart+lock&qid=1725439417&sprefix=smart+lock%2Caps%2C2815&sr=8-56
Keyless-Entry,85,4.4,1735,1735,13,https://www.amazon.com/Keyless-Keypad-Fingerprint-Biometric-Digital/dp/B09P58VVG3/ref=sr_1_57?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.1cS6p9lRNT6emmJLf_qKZyJnXRjlnTKRKA28eL7wqI6vpND1bcbQbYS2BZLAgwaLrQq7ylOBpsvXyXocU7voG-mk0tMLpnIbVZ9KRMicEnJwtvB8rh7YbE5MMv7jPjwQi-8UmN_-QxNJARAJ3-HYDhPm9012qGtZak7Wx9DeLbYlHqV4esW4CVkSZScPc0mw8pgHtOvxlYQyqLR8ZA1NdLr1HNhoAiOknAa_dofr4uugwJ_xboPatWlGmok4hC4CqPu9aTFNSmmmKiBTwFqejmKarbp2vwmzysqrW6Q8UuE.QIoV7KNfM1M9bLDCRoCtkNzK4etNJlIyqk-sA9VuOjg&dib_tag=se&keywords=smart+lock&qid=1725439417&sprefix=smart+lock%2Caps%2C2815&sr=8-57
